lga_id,year,primary_barriers,recommendation
oyo__ibarapa_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
edo__ikpoba-okha,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
enugu__awgu,2013,Multiple moderate access barriers,Maintain services and improve care quality
oyo__olorunsogo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kogi__kabba/bunu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bauchi__ningi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
taraba__kurmi,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
katsina__bakori,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__nsit_atai,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__kankia,2013,Multiple moderate access barriers,Maintain services and improve care quality
jigawa__gagarawa,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
bauchi__giade,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
edo__iguegben,2013,Multiple moderate access barriers,Maintain services and improve care quality
ondo__akure_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
rivers__khana,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__oruk_anam,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bauchi__misau,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bayelsa__kolokuma/opokuma,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__karaye,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bayelsa__sagbama,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
jigawa__garki,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__mai'adua,2013,Multiple moderate access barriers,Maintain services and improve care quality
ebonyi__ezza_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
taraba__ibi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kogi__omala,2013,Multiple moderate access barriers,Maintain services and improve care quality
ondo__ile_oluji/okeigbo,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__baure,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__dutsin_ma,2013,Multiple moderate access barriers,Maintain services and improve care quality
edo__uhunmwonde,2013,Multiple moderate access barriers,Maintain services and improve care quality
jigawa__taura,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
delta__ughelli_north,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
edo__orhionmwon,2013,Multiple moderate access barriers,Maintain services and improve care quality
kaduna__soba,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
yobe__karasuwa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ondo__ondo_west,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
delta__ika_south,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
ekiti__oye,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__bichi,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
fct__kwali,2013,Multiple moderate access barriers,Maintain services and improve care quality
oyo__oyo_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__kusada,2013,Multiple moderate access barriers,Maintain services and improve care quality
jigawa__roni,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
bauchi__toro,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
ondo__akure_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
kaduna__igabi,2013,Low facility density,Monitor barriers and coordinate targeted interventions
kogi__okene,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__onitsha_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__agatu,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__dala,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
zamfara__anka,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__tofa,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__ingawa,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
delta__uvwie,2013,Multiple moderate access barriers,Maintain services and improve care quality
ondo__idanre,2013,Multiple moderate access barriers,Maintain services and improve care quality
delta__okpe,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
anambra__anambra_west,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
lagos__mushin,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
ogun__shagamu,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__biase,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__gaya,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__charanchi,2013,Multiple moderate access barriers,Maintain services and improve care quality
edo__etsako_central,2013,Multiple moderate access barriers,Maintain services and improve care quality
bauchi__darazo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kogi__ijumu,2013,Multiple moderate access barriers,Maintain services and improve care quality
kwara__irepodun,2013,Multiple moderate access barriers,Maintain services and improve care quality
oyo__egbeda,2013,Multiple moderate access barriers,Maintain services and improve care quality
ondo__akoko_south_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__faskari,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kaduna__makarfi,2013,Multiple moderate access barriers,Maintain services and improve care quality
delta__udu,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__bunkure,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__funtua,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__dambatta,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
yobe__jakusko,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__gwale,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
jigawa__babura,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
delta__sapele,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
delta__ika_north_east,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
lagos__surulere,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__garun_malam,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kwara__offa,2013,Multiple moderate access barriers,Maintain services and improve care quality
lagos__shomolu,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__makoda,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__rimin_gado,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
yobe__yusufari,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kogi__bassa,2013,Multiple moderate access barriers,Maintain services and improve care quality
jigawa__jahun,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
katsina__kurfi,2013,Multiple moderate access barriers,Maintain services and improve care quality
edo__esan_west,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kaduna__kaduna_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__daura,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
taraba__gassol,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
jigawa__auyo,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__wudil,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kaduna__ikara,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ondo__ifedore,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__lavun,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
sokoto__dange_shuni,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
ogun__yewa_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
zamfara__tsafe,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kwara__ekiti,2013,Multiple moderate access barriers,Maintain services and improve care quality
kebbi__zuru,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kogi__yagba_west,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kogi__kogi,2013,Multiple moderate access barriers,Maintain services and improve care quality
kogi__olamaboro,2013,Multiple moderate access barriers,Maintain services and improve care quality
ondo__odigbo,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
lagos__agege,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__kibiya,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kwara__isin,2013,Multiple moderate access barriers,Maintain services and improve care quality
kaduna__sabon_gari,2013,Multiple moderate access barriers,Maintain services and improve care quality
jigawa__malam_madori,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kogi__lokoja,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
osun__ede_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
kaduna__giwa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ekiti__ikole,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__kunchi,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
jigawa__guri,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
zamfara__maru,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
gombe__dukku,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
sokoto__wamakko,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kwara__oke_ero,2013,Multiple moderate access barriers,Maintain services and improve care quality
lagos__oshodi/isolo,2013,Multiple moderate access barriers,Maintain services and improve care quality
borno__abadam,2013,Limited facility proximity coverage,Monitor barriers and coordinate targeted interventions
ekiti__moba,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
fct__gwagwalada,2013,Multiple moderate access barriers,Maintain services and improve care quality
kaduna__kagarko,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
fct__abaji,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
taraba__sardauna,2013,Multiple moderate access barriers,Maintain services and improve care quality
kebbi__shanga,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kaduna__birnin_gwari,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__ngaski,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kaduna__chikun,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__yauri,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kaduna__kauru,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__demsa,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__umuahia_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__obokun,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
imo__owerri_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
nasarawa__nasarawa,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__idemili_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__aba_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
ogun__odeda,2013,Multiple moderate access barriers,Maintain services and improve care quality
ogun__ijebu_east,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
benue__okpokwu,2013,Multiple moderate access barriers,Maintain services and improve care quality
gombe__shomgom,2013,Multiple moderate access barriers,Maintain services and improve care quality
ekiti__ado-ekiti,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__ahiazu-mbaise,2013,Multiple moderate access barriers,Maintain services and improve care quality
kogi__ankpa,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__nkwerre,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__apa,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__kwande,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__ikom,2013,Multiple moderate access barriers,Maintain services and improve care quality
ekiti__ido-osi,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__ukwa_east,2013,Elevated under-5 mortality indicators,Maintain services and improve care quality
abia__ukwa_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__nnewi_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__bende,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
imo__okigwe,2013,Multiple moderate access barriers,Maintain services and improve care quality
bauchi__jama'are,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
nasarawa__kokona,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
borno__mafa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
gombe__akko,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
benue__ushongo,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__ehime-mbano,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__ideato_south,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
osun__ife_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__oyi,2013,Multiple moderate access barriers,Maintain services and improve care quality
ekiti__ekiti_south-west,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__ayamelum,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
imo__aboh-mbaise,2013,Multiple moderate access barriers,Maintain services and improve care quality
ekiti__ilejemeje,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__mbatoli,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__akamkpa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
abia__obi_nwga,2013,Elevated under-5 mortality indicators,Maintain services and improve care quality
benue__logo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
benue__guma,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__ogoja,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__ohafia,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__orumba_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__ado,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
nasarawa__toto,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
osun__egbedore,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__owerri_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__idemili_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__isiala-ngwa_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
gombe__funakaye,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
benue__katsina-ala,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__mokwa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
abia__aba_south,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
niger__edati,2013,Multiple moderate access barriers,Maintain services and improve care quality
ogun__odogbolu,2013,Multiple moderate access barriers,Maintain services and improve care quality
gombe__balanga,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ogun__ijebu_north_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__oturkpo,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__abi,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__ideato_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__oriade,2013,Multiple moderate access barriers,Maintain services and improve care quality
sokoto__illela,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
imo__nwangele,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
osun__ife_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__obanliku,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__onuimo,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__qua'an_pan,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__ngor-okpala,2013,Multiple moderate access barriers,Maintain services and improve care quality
oyo__ona_ara,2013,Multiple moderate access barriers,Maintain services and improve care quality
enugu__igbo-eze_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__oju,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__boluwaduro,2013,Multiple moderate access barriers,Maintain services and improve care quality
zamfara__shinkafi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
imo__orsu,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__anaocha,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__bekwarra,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__umu-nneochi,2013,Multiple moderate access barriers,Maintain services and improve care quality
ondo__ose,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
anambra__nnewi_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
ondo__akoko_north_west,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
osun__ilesha_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__njikoka,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__ohaji/egbema,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
gombe__gombe,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
imo__owerri_municipal,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
nasarawa__keana,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ebonyi__ohaukwu,2013,Elevated under-5 mortality indicators,Maintain services and improve care quality
ekiti__gbonyin,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__isiala_mbano,2013,Multiple moderate access barriers,Maintain services and improve care quality
ekiti__irepodun/ifelodun,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__obowo,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__isuikwuato,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__makurdi,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__gboko,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
osun__ife_central,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__isiala-ngwa_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__yakurr,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
gombe__billiri,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
anambra__dunukofia,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__osisioma_ngwa,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__ola_oluwa,2013,Multiple moderate access barriers,Maintain services and improve care quality
nasarawa__wamba,2013,Elevated under-5 mortality indicators,Maintain services and improve care quality
osun__boripe,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__yala,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__aguata,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__calabar_municipal,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__onitsha_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__ukum,2013,Multiple moderate access barriers,Maintain services and improve care quality
sokoto__isa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ogun__ogun_waterside,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__ifelodun,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__arochukwu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ogun__ijebu_ode,2013,Multiple moderate access barriers,Maintain services and improve care quality
borno__magumeri,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
cross_river__boki,2013,Multiple moderate access barriers,Maintain services and improve care quality
gombe__kwami,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ekiti__ekiti_east,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kwara__moro,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__ezinihitte,2013,Multiple moderate access barriers,Maintain services and improve care quality
borno__kala_balge,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
nasarawa__awe,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
osun__orolu,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__obubra,2013,Multiple moderate access barriers,Maintain services and improve care quality
edo__akoko-edo,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__osogbo,2013,Multiple moderate access barriers,Maintain services and improve care quality
ekiti__ise/orun,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__njaba,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
benue__obi,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__buruku,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__obudu,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__orlu,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__iwo,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__awka_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__tarka,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__umuahia_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__odo_otin,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__ihiala,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
osun__ilesha_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
gombe__kaltungo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
osun__irepodun,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ebonyi__ebonyi,2013,Multiple moderate access barriers,Maintain services and improve care quality
nasarawa__lafia,2013,Multiple moderate access barriers,Maintain services and improve care quality
ogun__ijebu_north,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
delta__ndokwa_west,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
imo__ikeduru,2013,Multiple moderate access barriers,Maintain services and improve care quality
kogi__okehi,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
gombe__yamaltu/deba,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
ekiti__emure,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ekiti__ikere,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__oguta,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
benue__konshisha,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
osun__ejigbo,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__gwer_west,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
cross_river__etung,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__ekwusigo,2013,Multiple moderate access barriers,Maintain services and improve care quality
ekiti__ijero,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
abia__ugwunagbo,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__olorunda,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
nasarawa__nasarawa_egon,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
osun__ede_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
ebonyi__afikpo_south,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
imo__oru_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__anambra_east,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
benue__vandeikya,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__atakunmosa_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
anambra__ogbaru,2013,Multiple moderate access barriers,Maintain services and improve care quality
abia__ikwuano,2013,Multiple moderate access barriers,Maintain services and improve care quality
nasarawa__keffi,2013,Multiple moderate access barriers,Maintain services and improve care quality
kogi__adavi,2013,Multiple moderate access barriers,Maintain services and improve care quality
imo__oru_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
ogun__remo_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
nasarawa__karu,2013,Multiple moderate access barriers,Maintain services and improve care quality
ogun__ikenne,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
osun__ila,2013,Multiple moderate access barriers,Maintain services and improve care quality
nasarawa__doma,2013,Multiple moderate access barriers,Maintain services and improve care quality
gombe__nafada,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
benue__gwer_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
ekiti__efon,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
imo__ihitte/uboma,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ekiti__ekiti_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
oyo__atisbo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
imo__isu,2013,Multiple moderate access barriers,Maintain services and improve care quality
benue__ogbadibo,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__atakunmosa_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
nasarawa__akwanga,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__rafi,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__odukpani,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__gbako,2013,Multiple moderate access barriers,Maintain services and improve care quality
delta__ukwuani,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
anambra__awka_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__gurara,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__kontagora,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__mashegu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
niger__wushishi,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
niger__shiroro,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__borgu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
niger__lapai,2013,Multiple moderate access barriers,Maintain services and improve care quality
ondo__akoko_south_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__rijau,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__chanchaga,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__mariga,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
niger__munya,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__bosso,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__suleja,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__paikoro,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__kanke,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__jos_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__jos_east,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
edo__oredo,2013,Multiple moderate access barriers,Maintain services and improve care quality
delta__patani,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__shendam,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
edo__egor,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__langtang_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__jos_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__mikang,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__barkin_ladi,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__pankshin,2013,Multiple moderate access barriers,Maintain services and improve care quality
plateau__bokkos,2013,Multiple moderate access barriers,Maintain services and improve care quality
